representative protein;other proteins in group;description;sequence length;monoisotopic mass;% of protein sequence covered by peptides;peptides count;intensity in 2019-019-04 HYE Mix A 1;intensity in 2019-019-04 HYE Mix A 2;intensity in 2019-019-04 HYE Mix A 3;intensity in 2019-019-05 HYE Mix B 1;intensity in 2019-019-05 HYE Mix B 2;intensity in 2019-019-05 HYE Mix B 3
C8ZCU8_YEAS8;;Ssa2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L10_0419g PE=3 SV=1;639;69455.534;67.76;33;3008466;2853531;2973609;1511910;1415820;1413653
PUR9_HUMAN;;Bifunctional purine biosynthesis protein PURH OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3;592;64575.342;67.74;29;1973810;2097231;2022571;1896355;2100085;2114576
EFG_ECOLI;;Elongation factor G OS=Escherichia coli (strain K12) OX=83333 GN=fusA PE=1 SV=2;704;77532.487;67.61;34;2464630;2252019;2425783;7071428;6897050;7054852
H2B1N_HUMAN;;Histone H2B type 1-N OS=Homo sapiens OX=9606 GN=HIST1H2BN PE=1 SV=3;126;13913.552;67.46;11;117969;0;128009;97268;120669;114399
D3UEG8_YEAS8;;Hsp26p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_2102g PE=3 SV=1;214;23886.07;67.29;12;2385877;2130790;2080662;1242855;1347926;1288127
BFR_ECOLI;;Bacterioferritin OS=Escherichia coli (strain K12) OX=83333 GN=bfr PE=1 SV=1;158;18483.331;67.09;9;370735;370899;395732;1050056;1260034;1212395
C8ZHY2_YEAS8;;Hsp10p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_2124g PE=3 SV=1;106;11365.236;66.98;6;285146;263227;266512;101736;103886;112997
RS13_ECOLI;;30S ribosomal protein S13 OS=Escherichia coli (strain K12) OX=83333 GN=rpsM PE=1 SV=2;118;13091.272;66.95;8;140157;140358;141257;619161;508656;523819
C8ZD33_YEAS8;;Rpl22ap OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L10_1365g PE=4 SV=1;121;13684.999;66.94;5;436176;443707;476466;254046;264765;259103
RS4X_HUMAN;;40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2;263;29579.054;66.92;19;2620724;2802996;2570280;2526589;2480802;2426358
KPYM_HUMAN;;Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4;531;57900.023;66.85;32;8573643;8804309;8816066;8610127;8603003;8780821
VIME_HUMAN;;Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4;466;53619.079;66.74;29;7950998;8066084;8185663;7808730;7582752;7948513
PTMS_HUMAN;;Parathymosin OS=Homo sapiens OX=9606 GN=PTMS PE=1 SV=2;102;11523.188;66.67;3;413045;391646;393963;366475;408625;394701
RL10_ECOLI;;50S ribosomal protein L10 OS=Escherichia coli (strain K12) OX=83333 GN=rplJ PE=1 SV=2;165;17700.391;66.67;11;1003158;1025281;1034963;2663240;2630426;2544887
C8Z8Y0_YEAS8;;Pil1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_3972g PE=4 SV=1;339;38268.044;66.37;12;946983;992939;919321;549039;549105;537811
TCPB_HUMAN;;T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4;535;57452.13;66.36;27;3466609;3217333;3321899;2914055;3102117;2993909
C8ZBG2_YEAS8;;Glyceraldehyde-3-phosphate dehydrogenase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1J11_2025g PE=3 SV=2;332;35669.572;66.27;23;2325017;2147893;2275157;1355785;1550366;1345066
C8Z3H3_YEAS8;;Ssa1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1A20_0804g PE=1 SV=1;634;68942.312;66.25;34;3636606;3610146;3682514;2228454;2263788;2332994
RS27A_HUMAN;;Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2;156;17953.492;66.03;11;2358964;2391429;2552451;2436529;2527416;2431354
RS17_HUMAN;;40S ribosomal protein S17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2;135;15540.39;65.93;11;1119003;1214757;1173807;1059506;1089275;1105992
TAGL2_HUMAN;;Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3;199;22377.173;65.83;11;1979682;2167930;2235417;2052560;2084610;2056314
C8ZI57_YEAS8;;40S ribosomal protein S7 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_3026g PE=3 SV=1;190;21608.951;65.79;12;1148442;1169566;1274995;615707;639585;761640
1433Z_HUMAN;;14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1;245;27727.728;65.71;16;3448976;3251424;3372939;3803810;3373561;3422381
UDP_ECOLI;;Uridine phosphorylase OS=Escherichia coli (strain K12) OX=83333 GN=udp PE=1 SV=3;253;27141.843;65.61;10;533295;591052;611927;1778495;1717785;1701075
TBA4A_HUMAN;;Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1;448;49892.369;65.4;22;2957919;2015502;2787074;3083288;2790682;2928151
RS1_ECOLI;;30S ribosomal protein S1 OS=Escherichia coli (strain K12) OX=83333 GN=rpsA PE=1 SV=1;557;61120.716;65.35;29;1088134;1323293;1232689;3749971;3625233;3707170
NPM_HUMAN;;Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2;294;32554.842;65.31;17;4447067;4765047;5098582;4502716;4468701;4757872
RRAA_ECOLI;;Regulator of ribonuclease activity A OS=Escherichia coli (strain K12) OX=83333 GN=rraA PE=1 SV=1;161;17349.597;65.22;5;62006;57728;61524;265809;260907;278291
RUXE_HUMAN;;Small nuclear ribonucleoprotein E OS=Homo sapiens OX=9606 GN=SNRPE PE=1 SV=1;92;10796.637;65.22;4;356565;391505;405163;357822;381459;363199
C8ZC23_YEAS8;;Phosphoglycerate mutase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1K5_0760g PE=3 SV=1;247;27591.585;65.18;16;3496542;3599369;3611823;2315516;2324055;2232713
PRS6A_HUMAN;;26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3;439;49172.456;65.15;20;1042930;1009199;874352;924399;970289;933192
CLIC1_HUMAN;;Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4;241;26905.748;65.15;13;1511389;1852480;1573709;1544478;1814331;1720338
SKP1_HUMAN;;S-phase kinase-associated protein 1 OS=Homo sapiens OX=9606 GN=SKP1 PE=1 SV=2;163;18646.245;65.03;9;599695;660364;656249;609705;632098;622681
RIDA_ECOLI;;2-iminobutanoate/2-iminopropanoate deaminase OS=Escherichia coli (strain K12) OX=83333 GN=ridA PE=1 SV=2;128;13603.143;64.84;5;84920;81930;61767;452624;509329;497190
TCPH_HUMAN;;T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2;543;59328.924;64.83;29;2929118;2894190;2997039;2615250;2733623;2808996
IPYR_HUMAN;;Inorganic pyrophosphatase OS=Homo sapiens OX=9606 GN=PPA1 PE=1 SV=2;289;32639.155;64.71;17;774471;828426;831561;789240;728602;837688
VDAC2_HUMAN;;Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2;294;31546.546;64.63;14;1779563;1778223;1813092;1738585;1676334;1653542
ATP5H_HUMAN;;ATP synthase subunit d, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PD PE=1 SV=3;161;18479.496;64.6;9;821708;894237;883002;795288;851662;893770
PHB2_HUMAN;;Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2;299;33275.916;64.55;19;1237446;912778;1245485;1133579;1192976;1161448
K1C18_HUMAN;K1C18_HUMAN_CONTA K1C18_HUMAN;Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2;430;48028.536;64.42;21;3021514;2878779;2883877;3461009;3310981;3346510
TCPD_HUMAN;;T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4;539;57887.761;64.38;30;2741201;2933579;2641782;2646967;2606815;2535553
NDK_ECOLI;;Nucleoside diphosphate kinase OS=Escherichia coli (strain K12) OX=83333 GN=ndk PE=1 SV=2;143;15453.794;64.34;7;374713;344193;361601;786932;1203509;1227070
